GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
recipe-cost-calculator-app,com.turankanbur.calculator,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,LoginMenu,31,419,1,1,11,87,3,8,2,8
recipe-cost-calculator-app,com.turankanbur.calculator,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,RemoveRecipeMenu,0,435,0,0,0,68,0,5,0,5
recipe-cost-calculator-app,com.turankanbur.calculator,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,MainMenu.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,DBFacadeCreateMeal,52,470,9,25,12,108,9,17,0,9
recipe-cost-calculator-app,com.turankanbur.calculator,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
